año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,1,1,1,2,3,1,417075.44
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,1,1,2,4,3,1,725764.94
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,1,1,2,5,4,1,1183838.58
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,1,2,1,1,3,1,243126.62
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,1,2,1,4,4,1,696988.39
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,2,1,2,4,3,1,649546
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,2,1,2,6,4,2,1329875
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,2,1,2,6,6,2,3598254
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,2,2,2,4,4,1,600000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,2,2,2,6,4,1,1254394
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,2,2,2,6,5,1,1430000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,2,3,5,1,2079633
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,2,4,4,1,576979
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,2,5,4,1,1134752
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,2,6,4,3,3976329
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,2,6,5,2,3508695
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,2,6,6,3,12837287
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,1,3,6,5,1,1850000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,1,3,4,1,1018668
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,1,6,3,1,705600
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,1,6,5,1,3441474
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,2,2,3,1,388071
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,2,4,4,1,690000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,2,6,3,1,450000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,2,6,4,2,2588900
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,2,6,5,2,3660000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,1,2,1,2,2,6,6,3,6505120
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,2,1,2,1,1,1,1,2,22673
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,2,1,2,1,1,2,1,3,64537
2019,1,9,Ciudad de México,5,Gustavo A. Madero,2,2,1,2,1,1,3,1,5,196228
